"id";"fase";"titulo";"acao";"criterio_aceite";"responsavel";"prioridade";"status";"evidencia";"dependencias";"status_anterior";"natureza";"constatacao";"proxima_acao";"referencias_auditoria";"dependencias_diretas_abertas"
"1";"1";"Registrar objetivo e fronteiras";"Documentar vitrine pública premium, relação com o comercial e escopo desta prévia.";"Documento distingue protótipo, integração futura e lançamento comercial.";"Estratégia + arquitetura";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Objetivo, escopo consultivo e limites de prévia estão documentados.";"Nenhuma ação para este critério documental.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"2";"1";"Fixar a referência do repositório";"Registrar branch, hash e data do código examinado.";"Auditoria aponta o commit 44857d5 e links reproduzíveis.";"Estratégia + arquitetura";"P0";"done";"docs/AUDITORIA_PROJETO_INTERNO.md";"1";"done";"entrega";"Auditoria fixa o commit 44857d5 do aplicativo comercial e caminhos reproduzíveis.";"Preservar a revisão histórica; não confundir com o commit da vitrine.";"docs/AUDITORIA_PROJETO_INTERNO.md";""
"3";"1";"Inventariar o projeto";"Contabilizar arquivos por diretório e localizar módulos de catálogo, propostas, imagens e personalização.";"Inventário reproduzível inclui 8.319 arquivos versionados sem presumir leitura integral.";"Estratégia + arquitetura";"P0";"done";"docs/AUDITORIA_PROJETO_INTERNO.md";"2";"done";"entrega";"Inventário histórico registra 8.319 arquivos e explicita a leitura dirigida.";"Repetir inventário se houver nova auditoria do aplicativo comercial.";"docs/AUDITORIA_PROJETO_INTERNO.md";""
"4";"1";"Confirmar o Supabase canônico";"Distinguir a fonte operacional de Promo_Gifts_V4 do banco oficial da vitrine informado posteriormente pelo usuário.";"Arquitetura e configuração identificam doufsxqlfjyuvxuezpln como operacional e whwloseshzraipljisqo como banco oficial da vitrine, sem troca implícita de destinos.";"Estratégia + arquitetura";"P0";"done";"docs/ARQUITETURA_E_INTEGRACAO.md";"2";"done";"entrega";"Identidade de cada banco está documentada; a API confirmou whwloseshzraipljisqo para a vitrine.";"Manter a distinção entre banco da vitrine e banco operacional doufsxqlfjyuvxuezpln.";"docs/ARQUITETURA_E_INTEGRACAO.md, docs/audit/plan-database-check.json";""
"5";"1";"Mapear fronteiras de autenticação";"Ler composição de rotas e identificar catálogo, propostas e revista pública.";"Mapa mostra rotas protegidas e públicas com referências aos arquivos.";"Estratégia + arquitetura";"P0";"done";"docs/AUDITORIA_PROJETO_INTERNO.md";"2";"done";"entrega";"Rotas públicas e protegidas do comercial estão mapeadas na revisão fixa.";"Revalidar o mapa antes de integrar uma nova revisão do comercial.";"docs/AUDITORIA_PROJETO_INTERNO.md";""
"6";"1";"Qualificar o grafo disponível";"Checar artefatos graphify e a revisão que originou o relatório existente.";"Auditoria histórica explicita a ausência de graph.json no comercial e a data anterior do seu relatório; o grafo local da vitrine é tratado separadamente.";"Estratégia + arquitetura";"P0";"done";"docs/AUDITORIA_PROJETO_INTERNO.md";"2";"done";"entrega";"A ausência de graph.json refere-se ao repositório comercial na auditoria original; a vitrine tem grafo próprio.";"Usar o grafo como orientação e conferir fontes alteradas depois da extração.";"docs/AUDITORIA_PROJETO_INTERNO.md";""
"7";"1";"Validar leitura pública pontual";"Consultar uma projeção limitada de produtos sem escrita e guardar a amostra permitida.";"Respostas HTTP e campos selecionados são registrados sem chaves ou dados pessoais.";"Estratégia + arquitetura";"P0";"done";"docs/audit/catalog-sample.json";"4";"done";"entrega";"Amostra pública e verificação posterior preservam IDs e campos limitados sem escrita.";"Não extrapolar leitura de oito registros para auditoria administrativa integral.";"docs/audit/catalog-sample.json, docs/audit/CANONICAL_CATALOG_LIVE_CHECK_2026-09-22.md";""
"8";"1";"Observar o comercial em uso";"Acompanhar representantes em catálogo, kit, simulação e proposta no ambiente autorizado.";"Ao menos três sessões de tarefas reais são registradas com tempos, erros e necessidades.";"Estratégia + arquitetura";"P0";"pending";"docs/AUDITORIA_PROJETO_INTERNO.md";"";"pending";"negocio";"Não há registros das três sessões de uso real com representantes.";"Agendar três sessões autorizadas e registrar tempos, erros e necessidades.";"docs/AUDITORIA_PROJETO_INTERNO.md";""
"9";"1";"Inspecionar qualidade da amostra";"Confrontar nomes, descrições, fotos, mínimos e materiais das peças examinadas.";"Registro diferencia inconsistências verificadas de hipóteses que precisam de validação.";"Estratégia + arquitetura";"P0";"done";"docs/AUDITORIA_PROJETO_INTERNO.md";"7";"done";"entrega";"Auditoria da amostra identifica conflitos de materiais e mídia e separa hipóteses.";"Manter os conflitos nas etapas de revisão por SKU.";"docs/AUDITORIA_PROJETO_INTERNO.md";""
"10";"1";"Consolidar achados e limites";"Produzir matriz de riscos com evidências, impacto e próxima ação.";"Cada achado tem origem documental, código, leitura ao vivo ou hipótese claramente identificada.";"Estratégia + arquitetura";"P0";"done";"docs/AUDITORIA_PROJETO_INTERNO.md";"3, 4, 5, 6, 7, 9";"done";"entrega";"Achados têm fonte, impacto e ação proposta; limites de acesso estão explícitos.";"Atualizar achados se o escopo do comercial mudar.";"docs/AUDITORIA_PROJETO_INTERNO.md";""
