id,titulo,prioridade,etapas,origem,lacuna_premium,adaptacao,dependencias,aceitacao,responsavel_sugerido,onda,status
APV1-01,Briefing estruturado,P1,"114,116,132,133",src/lib/quoteBriefing.ts,Campos comerciais pouco estruturados,Verba e escopo; evento e recebimento; flexibilidade; canal; logo,Contrato comercial e faixas aprovados,Cliente e servidor validam datas e escopo; export e receptor recebem os mesmos campos; retry continua idempotente,Produto + comercial + engenharia,1,"parcial — campos e contrato implementados; falta homologação comercial, staging e piloto"
APV1-02,Elegibilidade editorial premium,P0,"041,045,048,125,198",src/lib/campaignPresets.ts,Critérios editoriais ainda incompletos,Separar destaque de qualidade; atributos e aprovação por SKU,Curador e critérios de publicação,Peça sem aprovação ou evidência não entra em coleção premium; revisão tem responsável e data,Curadoria + comercial,1,parcial — registro e gate estrutural prontos; 8 fichas aguardam evidências e aprovação
APV1-03,Curadoria guiada,P1,"053,085,090",src/components/CampaignFinder.tsx,Descoberta por contexto incompleta,Perguntas opcionais sobre destinatário; ocasião; intenção; investimento,APV1-02 e taxonomia revisada,Escolhas geram produtos elegíveis; zero resultado tem saída útil; usuário pula etapas e ajusta filtros,UX + engenharia,2,recomendado — não implementado nesta auditoria
APV1-04,Busca com sinônimos,P1,"085,086",src/lib/search.ts,Vocabulário e tolerância incompletos,Sinônimos premium e correção sem alterar intenção silenciosamente,Termos reais de compradores,Consultas compostas preservam grupos; erro ambíguo não corrige automaticamente; relevância avaliada em amostra,Conteúdo + engenharia,2,recomendado — não implementado nesta auditoria
APV1-05,Facetas comerciais na URL,P1,"085,088,095,123",src/lib/catalogFilters.ts,Faltam atributos consistentes,Material; acabamento; embalagem; ocasião apenas quando cadastrados,APV1-02; contrato de catálogo,Voltar restaura facetas; limpar limpa URL; total vem da fonte; ausência de dado não vira atributo positivo,Dados + engenharia,2,recomendado — não implementado nesta auditoria
APV1-06,Biblioteca de coleções,P2,"053,075,151,157",src/pages/CatalogsPage.tsx,"Biblioteca implementada com seis coleções, filtros, compartilhamento e páginas com produtos publicados",Coleções por contexto com formato e data claros,Conteúdo; direitos; catálogo elegível,Links resolvem; online e PDF são diferenciados; coleção vazia ou desatualizada é tratada,Conteúdo + design,4,implementado tecnicamente — ver docs/CATALOGOS.md; aprovação editorial das peças segue pendente
APV1-07,Galeria de detalhes,P1,"093,162,163,173",src/pages/ProductPage.tsx,Uma imagem por produto,Fotos de acabamento; escala; embalagem e zoom acessível,Fotografia aprovada e direitos,Teclado; zoom; alt; falha de mídia e mobile funcionam; orçamento de imagem respeitado; Axe inclui produto com múltiplas imagens e semântica correta das miniaturas,Design + conteúdo + engenharia,2,recomendado — não implementado nesta auditoria
APV1-08,Variantes e personalização válidas,P1,"094,098,103,123",api/_lib/catalogValidation.ts,Variantes não estruturadas,Cor e técnica compatível por SKU; indicação de confirmação comercial,Contrato público versionado,API rejeita variação de outro produto ou retirada; seleção e export mantêm escolha inequívoca,Dados + engenharia,2,recomendado — não implementado nesta auditoria
APV1-09,Ficha técnica e condições,P0,"095,096,097,125",src/lib/catalog.ts,Condições e mínimos parcialmente revisados,Material; medidas; mínimo conhecido; embalagem; restrições,Validação por curadoria e operação,Dado ausente aparece a confirmar; promessa de prazo e material tem fonte; claims e textos revisados,Comercial + curadoria,1,recomendado — não implementado nesta auditoria
APV1-10,Comparação para decisão,P1,"090,095,120",src/components/CatalogComparisonTray.tsx,Comparador ausente; extensão proposta,Comparar até três presentes e destacar diferenças úteis,APV1-09 e APV1-07,Funciona mobile/teclado; ausência de dados explícita; catálogo revalidado antes de enviar,UX + engenharia,2,recomendado — não implementado nesta auditoria
